Dataset,Model,Enhancement,Optimizer,LR,BatchSize,Time/Epoch (sec),Total Time (sec),#Epoch(total),#Epoch(saved),Accuracy(total),Train Accuracy,NumParam,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5,Accuracy_6,Accuracy_7,Accuracy_8,Accuracy_9,Accuracy_10
cifar,CNN,dropout,K-FAC,0.0001,32,44.00330865383148,1848.1389634609222,42,37,60.05,68.6175,62006,60.7,72.2,43.4,48.6,64.4,39.8,64.1,65.4,77.4,64.5
fashion_mnist,CNN,,K-FAC,0.1,32,52.564742989010284,473.08268690109253,9,4,82.88,84.258,44426,74.2,95.8,51.4,87.9,86.3,90.9,59.1,95.3,93.9,94.0
fashion_mnist,MLP,dropout,K-FAC,0.001,32,14.928654670715332,89.57192802429199,6,1,74.91,75.542,476490,73.3,93.5,52.7,88.0,72.9,85.7,30.0,76.6,88.1,88.3
fashion_mnist,CNN,dropout,K-FAC,0.01,32,13.995667243003846,139.95667243003845,10,5,81.01,82.042,44426,74.3,94.6,67.6,89.6,72.5,84.3,44.4,95.9,93.7,93.2
fashion_mnist,CNN,"dropout, no_pool",K-FAC,0.001,32,23.281592696905136,372.5054831504822,16,11,72.42,73.766,54100,80.0,90.1,68.7,86.9,60.6,75.5,4.8,75.9,85.5,96.2
mnist,MLP,,LBFGS,0.001,32,16.64520835876465,199.74250030517578,12,7,11.76,12.392,476490,0.0,0.0,0.0,0.0,0.0,0.0,85.38461538461539,0.0,46.902654867256636,0.0
mnist,CNN,"dropout, no_pool",LBFGS,0.01,40000,24.998889366785686,149.9933362007141,6,1,11.35,11.21,54100,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,CNN,"dropout, no_pool",K-FAC,0.01,32,19.46404254436493,272.496595621109,14,9,66.94,67.534,54100,77.7,89.3,95.8,75.5,1.8,72.3,1.4,83.6,79.1,92.9
fashion_mnist,CNN,no_pool,SGD,0.001,32,5.03215925352914,176.1255738735199,35,30,87.63,90.65,54100,89.2,95.7,81.2,86.8,83.4,96.2,58.6,94.1,96.3,94.8
mnist,MLP,,SGD,0.001,32,4.789811992645264,119.74529981613159,25,20,97.77,99.072,476490,99.08163265306122,99.11894273127753,97.09302325581395,98.01980198019803,97.86150712830957,96.97309417040358,97.07724425887265,98.24902723735408,97.02258726899385,96.92765113974232
cifar,CNN,no_pool,LBFGS,0.1,50000,29.78060751199722,2978.0607511997223,100,100,47.31,48.9525,63520,51.5,61.1,27.7,27.2,34.7,39.2,61.6,54.1,59.0,57.0
fashion_mnist,CNN,"dropout, no_pool",LBFGS,0.01,50000,25.182858629226686,1888.7143971920013,75,70,70.58,70.834,54100,80.0,93.7,78.8,78.7,29.1,76.1,1.7,83.6,89.0,95.1
fashion_mnist,MLP,dropout,SGD,0.001,32,4.46519073733577,120.5601499080658,27,22,88.28,91.608,476490,86.3,96.2,81.7,90.4,78.1,94.3,66.7,95.6,97.0,96.5
fashion_mnist,MLP,,LBFGS,0.001,50000,8.353297440373169,818.6231491565704,98,93,85.27,87.084,476490,81.6,95.2,76.5,87.8,77.3,93.4,59.0,93.2,95.3,93.4
cifar,CNN,no_pool,LBFGS,0.0001,50000,10.534958930015565,1053.4958930015564,100,98,10.0,10.11,63520,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,MLP,dropout,K-FAC,0.0001,32,65.92570420900981,988.8855631351471,15,10,97.19,98.072,476490,99.08163265306122,99.03083700440529,96.99612403100775,95.64356435643565,96.5376782077393,96.41255605381166,98.12108559498957,95.03891050583658,97.53593429158111,97.32408325074331
fashion_mnist,MLP,dropout,K-FAC,0.01,32,28.95509624481201,173.73057746887207,6,1,77.36,78.828,476490,66.8,92.6,63.3,79.8,75.7,83.1,49.2,84.5,87.1,91.5
cifar,CNN,no_pool,SGD,0.0001,32,4.508521175384521,450.85211753845215,100,98,49.92,52.365,63520,55.8,60.2,36.3,29.4,37.9,53.8,57.2,55.1,59.8,53.7
cifar,MLP,dropout,K-FAC,0.01,32,301.66601796944934,1809.9961078166962,6,1,23.49,25.205,1647946,28.1,4.4,42.9,9.1,10.2,3.8,28.6,23.3,43.2,41.3
mnist,MLP,,LBFGS,0.01,40000,8.136427586078645,813.6427586078644,100,100,96.86,98.27,476490,98.77551020408163,98.76651982378854,97.38372093023256,96.93069306930693,96.43584521384929,95.2914798206278,97.07724425887265,96.59533073929961,96.30390143737166,94.64816650148661
